dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_False
saver_name_pre: wasserstein_vq_substitution_1_False_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.4683, rec_loss 0.1331, wasserstein_loss 0.2928, quant_error 0.4097, codebook_utilization 0.5992, codebook_perplexity 8106.9053,
Train Epoch: [1/1] Iters:[130/20018] vq_loss 0.4447, rec_loss 0.1161, wasserstein_loss 0.1946, quant_error 0.4058, codebook_utilization 0.5989, codebook_perplexity 8019.0371,
Train Epoch: [1/1] Iters:[140/20018] vq_loss 0.4251, rec_loss 0.1027, wasserstein_loss 0.1443, quant_error 0.3963, codebook_utilization 0.5974, codebook_perplexity 7933.4517,
Train Epoch: [1/1] Iters:[150/20018] vq_loss 0.4192, rec_loss 0.0962, wasserstein_loss 0.1209, quant_error 0.3950, codebook_utilization 0.5958, codebook_perplexity 7851.8324,
Train Epoch: [1/1] Iters:[160/20018] vq_loss 0.4146, rec_loss 0.0931, wasserstein_loss 0.1175, quant_error 0.3911, codebook_utilization 0.5950, codebook_perplexity 7800.5252,
Train Epoch: [1/1] Iters:[170/20018] vq_loss 0.4126, rec_loss 0.0924, wasserstein_loss 0.1108, quant_error 0.3904, codebook_utilization 0.5939, codebook_perplexity 7778.3916,
Train Epoch: [1/1] Iters:[180/20018] vq_loss 0.4088, rec_loss 0.0919, wasserstein_loss 0.1076, quant_error 0.3873, codebook_utilization 0.5933, codebook_perplexity 7782.2450,
Train Epoch: [1/1] Iters:[190/20018] vq_loss 0.4114, rec_loss 0.0931, wasserstein_loss 0.0999, quant_error 0.3914, codebook_utilization 0.5927, codebook_perplexity 7775.7849,
Train Epoch: [1/1] Iters:[200/20018] vq_loss 0.4097, rec_loss 0.0928, wasserstein_loss 0.0985, quant_error 0.3900, codebook_utilization 0.5922, codebook_perplexity 7774.7304,
Train Epoch: [1/1] Iters:[210/20018] vq_loss 0.4078, rec_loss 0.0924, wasserstein_loss 0.0948, quant_error 0.3889, codebook_utilization 0.5905, codebook_perplexity 7709.9939,
Train Epoch: [1/1] Iters:[220/20018] vq_loss 0.4094, rec_loss 0.0921, wasserstein_loss 0.0916, quant_error 0.3911, codebook_utilization 0.5903, codebook_perplexity 7706.7280,
Train Epoch: [1/1] Iters:[230/20018] vq_loss 0.4111, rec_loss 0.0912, wasserstein_loss 0.0921, quant_error 0.3927, codebook_utilization 0.5893, codebook_perplexity 7664.3462,
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.4101, rec_loss 0.0907, wasserstein_loss 0.0934, quant_error 0.3914, codebook_utilization 0.5887, codebook_perplexity 7625.0674,
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.4079, rec_loss 0.0900, wasserstein_loss 0.0910, quant_error 0.3897, codebook_utilization 0.5876, codebook_perplexity 7568.3221,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.4065, rec_loss 0.0889, wasserstein_loss 0.0953, quant_error 0.3874, codebook_utilization 0.5863, codebook_perplexity 7553.3361,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.4024, rec_loss 0.0880, wasserstein_loss 0.0958, quant_error 0.3833, codebook_utilization 0.5847, codebook_perplexity 7514.5103,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.3991, rec_loss 0.0875, wasserstein_loss 0.0976, quant_error 0.3796, codebook_utilization 0.5834, codebook_perplexity 7473.5774,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4015, rec_loss 0.0874, wasserstein_loss 0.0966, quant_error 0.3822, codebook_utilization 0.5814, codebook_perplexity 7421.0521,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4016, rec_loss 0.0864, wasserstein_loss 0.0987, quant_error 0.3818, codebook_utilization 0.5804, codebook_perplexity 7400.8067,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4031, rec_loss 0.0859, wasserstein_loss 0.0948, quant_error 0.3842, codebook_utilization 0.5801, codebook_perplexity 7418.3101,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4052, rec_loss 0.0856, wasserstein_loss 0.0950, quant_error 0.3862, codebook_utilization 0.5798, codebook_perplexity 7430.6373,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4080, rec_loss 0.0859, wasserstein_loss 0.0937, quant_error 0.3892, codebook_utilization 0.5801, codebook_perplexity 7487.9732,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4054, rec_loss 0.0847, wasserstein_loss 0.0978, quant_error 0.3858, codebook_utilization 0.5800, codebook_perplexity 7497.0780,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4042, rec_loss 0.0841, wasserstein_loss 0.0964, quant_error 0.3849, codebook_utilization 0.5799, codebook_perplexity 7503.0880,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4052, rec_loss 0.0843, wasserstein_loss 0.0979, quant_error 0.3856, codebook_utilization 0.5799, codebook_perplexity 7515.3121,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.4068, rec_loss 0.0835, wasserstein_loss 0.1027, quant_error 0.3863, codebook_utilization 0.5792, codebook_perplexity 7503.4902,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.4085, rec_loss 0.0833, wasserstein_loss 0.1040, quant_error 0.3877, codebook_utilization 0.5784, codebook_perplexity 7485.7813,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.4106, rec_loss 0.0831, wasserstein_loss 0.1042, quant_error 0.3897, codebook_utilization 0.5780, codebook_perplexity 7484.0107,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.4115, rec_loss 0.0834, wasserstein_loss 0.1050, quant_error 0.3905, codebook_utilization 0.5765, codebook_perplexity 7454.1100,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.4138, rec_loss 0.0830, wasserstein_loss 0.1050, quant_error 0.3927, codebook_utilization 0.5753, codebook_perplexity 7439.4853,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.4108, rec_loss 0.0820, wasserstein_loss 0.1064, quant_error 0.3895, codebook_utilization 0.5742, codebook_perplexity 7423.4646,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.4085, rec_loss 0.0806, wasserstein_loss 0.1055, quant_error 0.3874, codebook_utilization 0.5726, codebook_perplexity 7388.7462,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.4086, rec_loss 0.0802, wasserstein_loss 0.1069, quant_error 0.3872, codebook_utilization 0.5716, codebook_perplexity 7391.4269,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.4099, rec_loss 0.0798, wasserstein_loss 0.1048, quant_error 0.3889, codebook_utilization 0.5713, codebook_perplexity 7402.8557,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.4064, rec_loss 0.0797, wasserstein_loss 0.1067, quant_error 0.3851, codebook_utilization 0.5708, codebook_perplexity 7378.0411,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.4083, rec_loss 0.0798, wasserstein_loss 0.1058, quant_error 0.3871, codebook_utilization 0.5714, codebook_perplexity 7411.0625,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.4098, rec_loss 0.0800, wasserstein_loss 0.1095, quant_error 0.3879, codebook_utilization 0.5717, codebook_perplexity 7438.6974,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4072, rec_loss 0.0796, wasserstein_loss 0.1067, quant_error 0.3859, codebook_utilization 0.5709, codebook_perplexity 7398.5142,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4063, rec_loss 0.0797, wasserstein_loss 0.1082, quant_error 0.3847, codebook_utilization 0.5696, codebook_perplexity 7364.8891,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.4066, rec_loss 0.0796, wasserstein_loss 0.1029, quant_error 0.3860, codebook_utilization 0.5689, codebook_perplexity 7372.9911,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.4052, rec_loss 0.0792, wasserstein_loss 0.1040, quant_error 0.3844, codebook_utilization 0.5680, codebook_perplexity 7349.1721,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.4027, rec_loss 0.0788, wasserstein_loss 0.1011, quant_error 0.3825, codebook_utilization 0.5672, codebook_perplexity 7334.8960,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.4030, rec_loss 0.0793, wasserstein_loss 0.1007, quant_error 0.3828, codebook_utilization 0.5665, codebook_perplexity 7339.6020,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.4024, rec_loss 0.0791, wasserstein_loss 0.0983, quant_error 0.3827, codebook_utilization 0.5672, codebook_perplexity 7372.7421,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.4024, rec_loss 0.0785, wasserstein_loss 0.1000, quant_error 0.3824, codebook_utilization 0.5667, codebook_perplexity 7367.3916,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.4039, rec_loss 0.0788, wasserstein_loss 0.0960, quant_error 0.3847, codebook_utilization 0.5664, codebook_perplexity 7366.6178,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.4052, rec_loss 0.0792, wasserstein_loss 0.0956, quant_error 0.3861, codebook_utilization 0.5654, codebook_perplexity 7331.8300,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.4064, rec_loss 0.0789, wasserstein_loss 0.0935, quant_error 0.3877, codebook_utilization 0.5659, codebook_perplexity 7349.4297,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.4073, rec_loss 0.0786, wasserstein_loss 0.0996, quant_error 0.3873, codebook_utilization 0.5654, codebook_perplexity 7357.9028,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.4059, rec_loss 0.0785, wasserstein_loss 0.0991, quant_error 0.3860, codebook_utilization 0.5656, codebook_perplexity 7376.3470,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.4072, rec_loss 0.0788, wasserstein_loss 0.0992, quant_error 0.3874, codebook_utilization 0.5646, codebook_perplexity 7374.9241,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.4030, rec_loss 0.0775, wasserstein_loss 0.1024, quant_error 0.3825, codebook_utilization 0.5644, codebook_perplexity 7380.3739,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.4016, rec_loss 0.0771, wasserstein_loss 0.0986, quant_error 0.3818, codebook_utilization 0.5640, codebook_perplexity 7393.0141,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.4009, rec_loss 0.0767, wasserstein_loss 0.0934, quant_error 0.3822, codebook_utilization 0.5638, codebook_perplexity 7418.5308,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4014, rec_loss 0.0761, wasserstein_loss 0.0941, quant_error 0.3826, codebook_utilization 0.5627, codebook_perplexity 7380.8638,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4014, rec_loss 0.0756, wasserstein_loss 0.0965, quant_error 0.3821, codebook_utilization 0.5626, codebook_perplexity 7387.1490,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.4053, rec_loss 0.0761, wasserstein_loss 0.0971, quant_error 0.3859, codebook_utilization 0.5622, codebook_perplexity 7380.7731,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.4051, rec_loss 0.0754, wasserstein_loss 0.1012, quant_error 0.3848, codebook_utilization 0.5624, codebook_perplexity 7386.1278,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4039, rec_loss 0.0759, wasserstein_loss 0.1012, quant_error 0.3837, codebook_utilization 0.5607, codebook_perplexity 7321.3545,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4032, rec_loss 0.0760, wasserstein_loss 0.0996, quant_error 0.3833, codebook_utilization 0.5602, codebook_perplexity 7325.5484,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4033, rec_loss 0.0760, wasserstein_loss 0.0982, quant_error 0.3837, codebook_utilization 0.5597, codebook_perplexity 7312.3629,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4014, rec_loss 0.0758, wasserstein_loss 0.0934, quant_error 0.3827, codebook_utilization 0.5589, codebook_perplexity 7305.1964,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4038, rec_loss 0.0765, wasserstein_loss 0.0935, quant_error 0.3851, codebook_utilization 0.5572, codebook_perplexity 7261.3789,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4049, rec_loss 0.0757, wasserstein_loss 0.0963, quant_error 0.3856, codebook_utilization 0.5571, codebook_perplexity 7258.9982,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4043, rec_loss 0.0748, wasserstein_loss 0.0983, quant_error 0.3846, codebook_utilization 0.5576, codebook_perplexity 7286.1251,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4015, rec_loss 0.0747, wasserstein_loss 0.1004, quant_error 0.3814, codebook_utilization 0.5561, codebook_perplexity 7235.5803,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4020, rec_loss 0.0749, wasserstein_loss 0.1013, quant_error 0.3818, codebook_utilization 0.5553, codebook_perplexity 7230.5301,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4039, rec_loss 0.0748, wasserstein_loss 0.0989, quant_error 0.3842, codebook_utilization 0.5551, codebook_perplexity 7250.0099,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4047, rec_loss 0.0751, wasserstein_loss 0.0998, quant_error 0.3848, codebook_utilization 0.5554, codebook_perplexity 7259.6236,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4080, rec_loss 0.0760, wasserstein_loss 0.1036, quant_error 0.3873, codebook_utilization 0.5547, codebook_perplexity 7237.4127,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4077, rec_loss 0.0760, wasserstein_loss 0.1012, quant_error 0.3875, codebook_utilization 0.5554, codebook_perplexity 7263.9168,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4075, rec_loss 0.0756, wasserstein_loss 0.1029, quant_error 0.3869, codebook_utilization 0.5557, codebook_perplexity 7257.0215,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4041, rec_loss 0.0755, wasserstein_loss 0.1014, quant_error 0.3838, codebook_utilization 0.5556, codebook_perplexity 7278.3688,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4018, rec_loss 0.0751, wasserstein_loss 0.0999, quant_error 0.3818, codebook_utilization 0.5540, codebook_perplexity 7230.2429,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.3996, rec_loss 0.0748, wasserstein_loss 0.0967, quant_error 0.3803, codebook_utilization 0.5528, codebook_perplexity 7201.4415,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.3999, rec_loss 0.0746, wasserstein_loss 0.0973, quant_error 0.3804, codebook_utilization 0.5518, codebook_perplexity 7178.0072,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.3996, rec_loss 0.0752, wasserstein_loss 0.0965, quant_error 0.3803, codebook_utilization 0.5513, codebook_perplexity 7195.4714,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.3989, rec_loss 0.0746, wasserstein_loss 0.1007, quant_error 0.3787, codebook_utilization 0.5502, codebook_perplexity 7160.1919,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4015, rec_loss 0.0753, wasserstein_loss 0.0996, quant_error 0.3816, codebook_utilization 0.5502, codebook_perplexity 7197.8044,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4032, rec_loss 0.0757, wasserstein_loss 0.1022, quant_error 0.3827, codebook_utilization 0.5506, codebook_perplexity 7215.9505,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4051, rec_loss 0.0758, wasserstein_loss 0.1026, quant_error 0.3846, codebook_utilization 0.5500, codebook_perplexity 7190.7619,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4042, rec_loss 0.0751, wasserstein_loss 0.0998, quant_error 0.3842, codebook_utilization 0.5501, codebook_perplexity 7175.0905,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4061, rec_loss 0.0755, wasserstein_loss 0.0996, quant_error 0.3862, codebook_utilization 0.5504, codebook_perplexity 7185.2427,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4033, rec_loss 0.0748, wasserstein_loss 0.0977, quant_error 0.3838, codebook_utilization 0.5506, codebook_perplexity 7198.5363,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4035, rec_loss 0.0745, wasserstein_loss 0.0934, quant_error 0.3848, codebook_utilization 0.5497, codebook_perplexity 7188.7714,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.3999, rec_loss 0.0744, wasserstein_loss 0.0916, quant_error 0.3816, codebook_utilization 0.5501, codebook_perplexity 7234.5936,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.3996, rec_loss 0.0748, wasserstein_loss 0.0907, quant_error 0.3814, codebook_utilization 0.5496, codebook_perplexity 7240.0417,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.3961, rec_loss 0.0743, wasserstein_loss 0.0898, quant_error 0.3781, codebook_utilization 0.5486, codebook_perplexity 7215.5162,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.3994, rec_loss 0.0752, wasserstein_loss 0.0925, quant_error 0.3809, codebook_utilization 0.5465, codebook_perplexity 7174.7309,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.3980, rec_loss 0.0750, wasserstein_loss 0.0918, quant_error 0.3796, codebook_utilization 0.5459, codebook_perplexity 7162.1977,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.3989, rec_loss 0.0746, wasserstein_loss 0.0903, quant_error 0.3809, codebook_utilization 0.5460, codebook_perplexity 7157.8225,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.3994, rec_loss 0.0742, wasserstein_loss 0.0904, quant_error 0.3814, codebook_utilization 0.5462, codebook_perplexity 7164.9399,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.4011, rec_loss 0.0743, wasserstein_loss 0.0929, quant_error 0.3825, codebook_utilization 0.5466, codebook_perplexity 7179.2794,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.3988, rec_loss 0.0737, wasserstein_loss 0.0898, quant_error 0.3808, codebook_utilization 0.5473, codebook_perplexity 7207.9139,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.3985, rec_loss 0.0739, wasserstein_loss 0.0913, quant_error 0.3802, codebook_utilization 0.5466, codebook_perplexity 7195.8844,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.3978, rec_loss 0.0737, wasserstein_loss 0.0915, quant_error 0.3795, codebook_utilization 0.5459, codebook_perplexity 7188.5194,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.4000, rec_loss 0.0739, wasserstein_loss 0.0945, quant_error 0.3811, codebook_utilization 0.5445, codebook_perplexity 7166.0613,
Train Epoch: [1/1] Iters:[1090/20018] vq_loss 0.4002, rec_loss 0.0739, wasserstein_loss 0.0912, quant_error 0.3819, codebook_utilization 0.5436, codebook_perplexity 7137.7519,
Train Epoch: [1/1] Iters:[1100/20018] vq_loss 0.4020, rec_loss 0.0740, wasserstein_loss 0.0931, quant_error 0.3834, codebook_utilization 0.5439, codebook_perplexity 7125.1938,
Train Epoch: [1/1] Iters:[1110/20018] vq_loss 0.4003, rec_loss 0.0736, wasserstein_loss 0.0945, quant_error 0.3814, codebook_utilization 0.5439, codebook_perplexity 7118.0554,
Train Epoch: [1/1] Iters:[1120/20018] vq_loss 0.4029, rec_loss 0.0741, wasserstein_loss 0.0947, quant_error 0.3839, codebook_utilization 0.5436, codebook_perplexity 7129.0554,
Train Epoch: [1/1] Iters:[1130/20018] vq_loss 0.4002, rec_loss 0.0736, wasserstein_loss 0.0937, quant_error 0.3814, codebook_utilization 0.5439, codebook_perplexity 7132.2327,
Train Epoch: [1/1] Iters:[1140/20018] vq_loss 0.4021, rec_loss 0.0737, wasserstein_loss 0.0947, quant_error 0.3831, codebook_utilization 0.5433, codebook_perplexity 7134.4873,
Train Epoch: [1/1] Iters:[1150/20018] vq_loss 0.4037, rec_loss 0.0741, wasserstein_loss 0.0970, quant_error 0.3843, codebook_utilization 0.5430, codebook_perplexity 7139.6212,
Train Epoch: [1/1] Iters:[1160/20018] vq_loss 0.4078, rec_loss 0.0751, wasserstein_loss 0.0972, quant_error 0.3883, codebook_utilization 0.5433, codebook_perplexity 7147.5090,
Train Epoch: [1/1] Iters:[1170/20018] vq_loss 0.4072, rec_loss 0.0749, wasserstein_loss 0.1009, quant_error 0.3871, codebook_utilization 0.5436, codebook_perplexity 7141.4326,
Train Epoch: [1/1] Iters:[1180/20018] vq_loss 0.4109, rec_loss 0.0753, wasserstein_loss 0.1072, quant_error 0.3895, codebook_utilization 0.5431, codebook_perplexity 7124.5516,
Train Epoch: [1/1] Iters:[1190/20018] vq_loss 0.4081, rec_loss 0.0750, wasserstein_loss 0.1046, quant_error 0.3872, codebook_utilization 0.5435, codebook_perplexity 7145.5068,
Train Epoch: [1/1] Iters:[1200/20018] vq_loss 0.4064, rec_loss 0.0750, wasserstein_loss 0.1015, quant_error 0.3861, codebook_utilization 0.5437, codebook_perplexity 7159.3133,
Train Epoch: [1/1] Iters:[1210/20018] vq_loss 0.4047, rec_loss 0.0743, wasserstein_loss 0.1008, quant_error 0.3846, codebook_utilization 0.5432, codebook_perplexity 7158.8775,
Train Epoch: [1/1] Iters:[1220/20018] vq_loss 0.4042, rec_loss 0.0746, wasserstein_loss 0.0968, quant_error 0.3849, codebook_utilization 0.5417, codebook_perplexity 7109.1600,
Train Epoch: [1/1] Iters:[1230/20018] vq_loss 0.4020, rec_loss 0.0746, wasserstein_loss 0.0890, quant_error 0.3842, codebook_utilization 0.5415, codebook_perplexity 7115.7841,
Train Epoch: [1/1] Iters:[1240/20018] vq_loss 0.4043, rec_loss 0.0747, wasserstein_loss 0.0917, quant_error 0.3860, codebook_utilization 0.5413, codebook_perplexity 7098.5683,
Train Epoch: [1/1] Iters:[1250/20018] vq_loss 0.4035, rec_loss 0.0743, wasserstein_loss 0.0943, quant_error 0.3846, codebook_utilization 0.5405, codebook_perplexity 7065.0497,
