dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 2
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_65536_16_1_loss_1.0_1.0_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_65536_16_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.3004, rec_loss 0.0290, lpips_loss 0.2713, g_loss -0.0308, disc_weight 0.0000, disc_adaptive_weight 3.1808, codebook_loss 0.7016, utilization 0.2076, perplexity 12504.6225, d_loss 0.0000, logits_real 0.0332, logits_fake 0.0290,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3039, rec_loss 0.0309, lpips_loss 0.2730, g_loss -0.0342, disc_weight 0.0000, disc_adaptive_weight 3.2019, codebook_loss 0.7065, utilization 0.2071, perplexity 12421.3882, d_loss 0.0000, logits_real 0.0355, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3044, rec_loss 0.0307, lpips_loss 0.2738, g_loss -0.0329, disc_weight 0.0000, disc_adaptive_weight 3.1681, codebook_loss 0.7038, utilization 0.2071, perplexity 12426.7417, d_loss 0.0000, logits_real 0.0338, logits_fake 0.0328,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.3060, rec_loss 0.0313, lpips_loss 0.2747, g_loss -0.0338, disc_weight 0.0000, disc_adaptive_weight 3.1379, codebook_loss 0.6996, utilization 0.2064, perplexity 12353.1249, d_loss 0.0000, logits_real 0.0338, logits_fake 0.0337,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.3080, rec_loss 0.0318, lpips_loss 0.2762, g_loss -0.0328, disc_weight 0.0000, disc_adaptive_weight 3.0775, codebook_loss 0.6971, utilization 0.2064, perplexity 12370.4892, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0324,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.3070, rec_loss 0.0321, lpips_loss 0.2749, g_loss -0.0341, disc_weight 0.0000, disc_adaptive_weight 3.1771, codebook_loss 0.6911, utilization 0.2058, perplexity 12303.9836, d_loss 0.0000, logits_real 0.0325, logits_fake 0.0337,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.3045, rec_loss 0.0314, lpips_loss 0.2731, g_loss -0.0321, disc_weight 0.0000, disc_adaptive_weight 3.1030, codebook_loss 0.6803, utilization 0.2053, perplexity 12263.1055, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0314,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.3042, rec_loss 0.0319, lpips_loss 0.2723, g_loss -0.0331, disc_weight 0.0000, disc_adaptive_weight 3.0465, codebook_loss 0.6737, utilization 0.2047, perplexity 12198.5078, d_loss 0.0000, logits_real 0.0315, logits_fake 0.0324,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.3027, rec_loss 0.0318, lpips_loss 0.2710, g_loss -0.0322, disc_weight 0.0000, disc_adaptive_weight 3.1345, codebook_loss 0.6700, utilization 0.2046, perplexity 12199.0838, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0315,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.3003, rec_loss 0.0314, lpips_loss 0.2688, g_loss -0.0315, disc_weight 0.0000, disc_adaptive_weight 3.1752, codebook_loss 0.6653, utilization 0.2043, perplexity 12147.0224, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0317,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.3029, rec_loss 0.0321, lpips_loss 0.2708, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 2.9491, codebook_loss 0.6661, utilization 0.2042, perplexity 12138.8408, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0325,
