| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 2
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-ema_vq_transplant_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement_False
saver_name_pre: ema_vq_refinement_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.3302, rec_loss 0.0316, lpips_loss 0.2985, g_loss 0.2031, disc_weight 0.0000, disc_adaptive_weight 3.2853, codebook_loss 0.6187, utilization 0.1169, perplexity 5720.7677, d_loss 0.0000, logits_real -0.1994, logits_fake -0.2076,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3374, rec_loss 0.0337, lpips_loss 0.3037, g_loss 0.2068, disc_weight 0.0000, disc_adaptive_weight 3.2675, codebook_loss 0.5572, utilization 0.1127, perplexity 5398.4476, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2112,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3404, rec_loss 0.0336, lpips_loss 0.3069, g_loss 0.2069, disc_weight 0.0000, disc_adaptive_weight 2.9569, codebook_loss 0.4990, utilization 0.1086, perplexity 5129.4707, d_loss 0.0000, logits_real -0.2047, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.3453, rec_loss 0.0345, lpips_loss 0.3108, g_loss 0.2078, disc_weight 0.0000, disc_adaptive_weight 2.8204, codebook_loss 0.4512, utilization 0.1056, perplexity 4910.8714, d_loss 0.0000, logits_real -0.2065, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.3497, rec_loss 0.0350, lpips_loss 0.3147, g_loss 0.2078, disc_weight 0.0000, disc_adaptive_weight 2.8102, codebook_loss 0.4114, utilization 0.1041, perplexity 4793.0024, d_loss 0.0000, logits_real -0.2071, logits_fake -0.2092,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.3532, rec_loss 0.0354, lpips_loss 0.3178, g_loss 0.2096, disc_weight 0.0000, disc_adaptive_weight 2.7489, codebook_loss 0.3294, utilization 0.1005, perplexity 4514.9924, d_loss 0.0000, logits_real -0.2086, logits_fake -0.2096,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.3541, rec_loss 0.0348, lpips_loss 0.3192, g_loss 0.2098, disc_weight 0.0000, disc_adaptive_weight 2.8751, codebook_loss 0.2662, utilization 0.0991, perplexity 4386.2502, d_loss 0.0000, logits_real -0.2079, logits_fake -0.2093,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.3556, rec_loss 0.0353, lpips_loss 0.3203, g_loss 0.2097, disc_weight 0.0000, disc_adaptive_weight 3.2379, codebook_loss 0.2234, utilization 0.0997, perplexity 4386.8625, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2094,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.3543, rec_loss 0.0349, lpips_loss 0.3193, g_loss 0.2103, disc_weight 0.0000, disc_adaptive_weight 3.4765, codebook_loss 0.1935, utilization 0.1017, perplexity 4496.9951, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2097,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.3511, rec_loss 0.0343, lpips_loss 0.3168, g_loss 0.2118, disc_weight 0.0000, disc_adaptive_weight 3.6057, codebook_loss 0.1736, utilization 0.1042, perplexity 4645.8243, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2124,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.3529, rec_loss 0.0349, lpips_loss 0.3180, g_loss 0.2112, disc_weight 0.0000, disc_adaptive_weight 3.6263, codebook_loss 0.1624, utilization 0.1067, perplexity 4820.3255, d_loss 0.0000, logits_real -0.2103, logits_fake -0.2123,
