dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 2
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-online_vq_transplant_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement_False
saver_name_pre: online_vq_refinement_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.3856, rec_loss 0.0361, lpips_loss 0.3495, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 3.3211, codebook_loss 1.7245, utilization 0.0317, perplexity 1367.9970, d_loss 0.0000, logits_real 0.0332, logits_fake 0.0310,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3920, rec_loss 0.0386, lpips_loss 0.3534, g_loss -0.0335, disc_weight 0.0000, disc_adaptive_weight 3.3246, codebook_loss 1.4713, utilization 0.0322, perplexity 1394.8939, d_loss 0.0000, logits_real 0.0355, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3948, rec_loss 0.0384, lpips_loss 0.3565, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 3.3740, codebook_loss 1.2783, utilization 0.0328, perplexity 1392.9444, d_loss 0.0000, logits_real 0.0338, logits_fake 0.0323,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.3996, rec_loss 0.0395, lpips_loss 0.3601, g_loss -0.0334, disc_weight 0.0000, disc_adaptive_weight 3.6979, codebook_loss 1.1342, utilization 0.0336, perplexity 1381.5700, d_loss 0.0000, logits_real 0.0338, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.4044, rec_loss 0.0401, lpips_loss 0.3643, g_loss -0.0314, disc_weight 0.0000, disc_adaptive_weight 3.7028, codebook_loss 1.0253, utilization 0.0342, perplexity 1360.3673, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0322,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.4091, rec_loss 0.0408, lpips_loss 0.3684, g_loss -0.0324, disc_weight 0.0000, disc_adaptive_weight 3.8847, codebook_loss 0.7847, utilization 0.0353, perplexity 1337.6110, d_loss 0.0000, logits_real 0.0325, logits_fake 0.0331,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.4110, rec_loss 0.0403, lpips_loss 0.3707, g_loss -0.0318, disc_weight 0.0000, disc_adaptive_weight 4.3796, codebook_loss 0.6352, utilization 0.0365, perplexity 1304.8301, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0319,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.4141, rec_loss 0.0411, lpips_loss 0.3730, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 4.4283, codebook_loss 0.5482, utilization 0.0373, perplexity 1270.6186, d_loss 0.0000, logits_real 0.0315, logits_fake 0.0331,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.4146, rec_loss 0.0410, lpips_loss 0.3736, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 4.0892, codebook_loss 0.4974, utilization 0.0377, perplexity 1247.1954, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0314,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.4130, rec_loss 0.0406, lpips_loss 0.3724, g_loss -0.0333, disc_weight 0.0000, disc_adaptive_weight 4.0130, codebook_loss 0.4678, utilization 0.0380, perplexity 1242.3359, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0328,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.4154, rec_loss 0.0416, lpips_loss 0.3738, g_loss -0.0333, disc_weight 0.0000, disc_adaptive_weight 3.9319, codebook_loss 0.4513, utilization 0.0381, perplexity 1235.9941, d_loss 0.0000, logits_real 0.0313, logits_fake 0.0334,
