dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.3
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_0.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 4.1764, rec_loss 0.3285, p_loss 0.6724, quant_error 0.9436, utilization 0.0797, perplexity 2542.5819,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.1311, rec_loss 0.2071, p_loss 0.5746, quant_error 0.7034, utilization 0.1002, perplexity 4087.0380,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.5822, rec_loss 0.1527, p_loss 0.4890, quant_error 0.5800, utilization 0.1183, perplexity 5427.9885,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.2607, rec_loss 0.1241, p_loss 0.4320, quant_error 0.5060, utilization 0.1355, perplexity 6683.6870,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.0617, rec_loss 0.1064, p_loss 0.3945, quant_error 0.4602, utilization 0.1480, perplexity 7651.8911,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.4594, rec_loss 0.0470, p_loss 0.3041, quant_error 0.3220, utilization 0.1718, perplexity 9440.1102,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.2671, rec_loss 0.0356, p_loss 0.2516, quant_error 0.2778, utilization 0.1878, perplexity 10651.5149,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.1968, rec_loss 0.0329, p_loss 0.2303, quant_error 0.2596, utilization 0.1970, perplexity 11356.2537,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.1655, rec_loss 0.0313, p_loss 0.2202, quant_error 0.2514, utilization 0.2001, perplexity 11636.7593,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.1357, rec_loss 0.0299, p_loss 0.2125, quant_error 0.2437, utilization 0.2012, perplexity 11722.9187,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.1350, rec_loss 0.0295, p_loss 0.2095, quant_error 0.2431, utilization 0.2021, perplexity 11817.3283,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.1330, rec_loss 0.0296, p_loss 0.2066, quant_error 0.2415, utilization 0.2025, perplexity 11845.7037,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.1351, rec_loss 0.0295, p_loss 0.2055, quant_error 0.2415, utilization 0.2031, perplexity 11885.5019,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.1160, rec_loss 0.0285, p_loss 0.2029, quant_error 0.2359, utilization 0.2031, perplexity 11883.9020,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.1201, rec_loss 0.0287, p_loss 0.2021, quant_error 0.2357, utilization 0.2032, perplexity 11897.4297,
