dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 30.2119, rec_loss 0.2479, p_loss 0.7267, quant_error 3.7018, utilization 0.1034, perplexity 484.7750,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 31.5870, rec_loss 0.2226, p_loss 0.7099, quant_error 3.3990, utilization 0.0813, perplexity 324.6080,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 26.1004, rec_loss 0.1967, p_loss 0.6936, quant_error 3.0891, utilization 0.0795, perplexity 344.4358,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 22.9191, rec_loss 0.1754, p_loss 0.6789, quant_error 2.8254, utilization 0.0987, perplexity 428.1396,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 20.6356, rec_loss 0.1582, p_loss 0.6657, quant_error 2.5949, utilization 0.1344, perplexity 651.5004,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 16.6376, rec_loss 0.1237, p_loss 0.6374, quant_error 2.1492, utilization 0.1824, perplexity 1026.7567,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 11.9030, rec_loss 0.0982, p_loss 0.6075, quant_error 1.7843, utilization 0.2446, perplexity 1595.9699,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 10.5616, rec_loss 0.0833, p_loss 0.5772, quant_error 1.5225, utilization 0.3091, perplexity 2269.1140,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 9.4568, rec_loss 0.0750, p_loss 0.5488, quant_error 1.3362, utilization 0.3616, perplexity 2982.2532,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 8.6110, rec_loss 0.0702, p_loss 0.5222, quant_error 1.2118, utilization 0.3930, perplexity 3606.2380,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 7.9212, rec_loss 0.0683, p_loss 0.4990, quant_error 1.1203, utilization 0.4140, perplexity 4145.7064,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 7.3351, rec_loss 0.0667, p_loss 0.4804, quant_error 1.0642, utilization 0.4329, perplexity 4610.4631,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 6.8308, rec_loss 0.0653, p_loss 0.4688, quant_error 1.0263, utilization 0.4477, perplexity 4959.7540,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 6.3571, rec_loss 0.0626, p_loss 0.4584, quant_error 0.9943, utilization 0.4602, perplexity 5250.6150,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 5.9586, rec_loss 0.0617, p_loss 0.4509, quant_error 0.9709, utilization 0.4709, perplexity 5509.2476,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 5.6103, rec_loss 0.0600, p_loss 0.4444, quant_error 0.9522, utilization 0.4798, perplexity 5696.3945,
